Sample name,title,raw data file,source name,organism,characteristics: donor,characteristics: vaccine,characteristics: time of acquisition,characteristics: timepoint,characteristics: time of acquisition unit,molecule,label,description,platform or Agilent design ID
Control.18,Control,US93503719_254853410658_S01_GE1_107_Sep09_2_2.txt,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
P168_R774_w1.0h,post-vaccination blood sample from animal R774 at w1.w1h,US93503719_254853410658_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal R774,Macaca mulatta,R774,ALV-Control,1,w1.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w1.0h after vaccination with ALV-Control,GPL17463
Control.40,Control,US93503719_254853410659_S01_GE1_107_Sep09_1_1.txt,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
P168_R774_w26.0h,post-vaccination blood sample from animal R774 at w26.w26h,US93503719_254853410659_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R774,Macaca mulatta,R774,ALV-Control,1,w26.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w26.0h after vaccination with ALV-Control,GPL17463
P168_R794_w12.24h,post-vaccination blood sample from animal R794 at w12.w12h,US93503719_254853410659_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R794,Macaca mulatta,R794,ALV-Control,3,w12.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.24h after vaccination with ALV-Control,GPL17463
P168_R817_w12.24h,post-vaccination blood sample from animal R817 at w12.w12h,US93503719_254853410659_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R817,Macaca mulatta,R817,ALV-Control,2,w12.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.24h after vaccination with ALV-Control,GPL17463
P168_R817_w26.0h,post-vaccination blood sample from animal R817 at w26.w26h,US93503719_254853410659_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal R817,Macaca mulatta,R817,ALV-Control,2,w26.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w26.0h after vaccination with ALV-Control,GPL17463
P168_R817_w12.6h,post-vaccination blood sample from animal R817 at w12.w12h,US93503719_254853410659_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal R817,Macaca mulatta,R817,ALV-Control,2,w12.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.6h after vaccination with ALV-Control,GPL17463
P168_R794_w4.6h,post-vaccination blood sample from animal R794 at w4.w4h,US93503719_254853410659_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal R794,Macaca mulatta,R794,ALV-Control,3,w4.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.6h after vaccination with ALV-Control,GPL17463
P168_R764_w1.0h,post-vaccination blood sample from animal R764 at w1.w1h,US93503719_254853410660_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal R764,Macaca mulatta,R764,ALV-Control,3,w1.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w1.0h after vaccination with ALV-Control,GPL17463
P168_R817_w2.0h,post-vaccination blood sample from animal R817 at w2.w2h,US93503719_254853410660_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R817,Macaca mulatta,R817,ALV-Control,2,w2.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w2.0h after vaccination with ALV-Control,GPL17463
P168_R771_w12.0h,post-vaccination blood sample from animal R771 at w12.w12h,US93503719_254853410660_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R771,Macaca mulatta,R771,ALV-Control,1,w12.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.0h after vaccination with ALV-Control,GPL17463
P168_R817_w1.0h,post-vaccination blood sample from animal R817 at w1.w1h,US93503719_254853410660_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R817,Macaca mulatta,R817,ALV-Control,2,w1.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w1.0h after vaccination with ALV-Control,GPL17463
P168_R774_w0.24h,post-vaccination blood sample from animal R774 at w0.w0h,US93503719_254853410660_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R774,Macaca mulatta,R774,ALV-Control,1,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with ALV-Control,GPL17463
P168_P403_w2.0h,post-vaccination blood sample from animal P403 at w2.w2h,US93503719_254853410660_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal P403,Macaca mulatta,P403,ALV-Control,3,w2.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w2.0h after vaccination with ALV-Control,GPL17463
P168_R817_w0.0h,pre-vaccination blood sample from animal R817 at w0.w0h,US93503719_254853410660_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal R817,Macaca mulatta,R817,ALV-Control,2,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_P403_w14.0h,post-vaccination blood sample from animal P403 at w14.w14h,US93503719_254853410661_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal P403,Macaca mulatta,P403,ALV-Control,3,w14.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w14.0h after vaccination with ALV-Control,GPL17463
P168_R764_w14.0h,post-vaccination blood sample from animal R764 at w14.w14h,US93503719_254853410661_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R764,Macaca mulatta,R764,ALV-Control,3,w14.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w14.0h after vaccination with ALV-Control,GPL17463
P168_R771_w14.0h,post-vaccination blood sample from animal R771 at w14.w14h,US93503719_254853410661_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R771,Macaca mulatta,R771,ALV-Control,1,w14.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w14.0h after vaccination with ALV-Control,GPL17463
P168_R774_w14.0h,post-vaccination blood sample from animal R774 at w14.w14h,US93503719_254853410661_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R774,Macaca mulatta,R774,ALV-Control,1,w14.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w14.0h after vaccination with ALV-Control,GPL17463
P168_R794_w14.0h,post-vaccination blood sample from animal R794 at w14.w14h,US93503719_254853410661_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R794,Macaca mulatta,R794,ALV-Control,3,w14.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w14.0h after vaccination with ALV-Control,GPL17463
P168_R817_w14.0h,post-vaccination blood sample from animal R817 at w14.w14h,US93503719_254853410661_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal R817,Macaca mulatta,R817,ALV-Control,2,w14.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w14.0h after vaccination with ALV-Control,GPL17463
P168_P403_w0.24h,post-vaccination blood sample from animal P403 at w0.w0h,US93503719_254853410661_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal P403,Macaca mulatta,P403,ALV-Control,3,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with ALV-Control,GPL17463
Control,Control,US93503719_254853410661_S01_GE1_107_Sep09_2_4.txt,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
P168_P409_w14.0h,post-vaccination blood sample from animal P409 at w14.w14h,US93503719_254853410663_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal P409,Macaca mulatta,P409,ALV-SIV,"NA",w14.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w14.0h after vaccination with ALV-SIV,GPL17463
P168_R761_w14.0h,post-vaccination blood sample from animal R761 at w14.w14h,US93503719_254853410663_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R761,Macaca mulatta,R761,ALV-SIV,"NA",w14.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w14.0h after vaccination with ALV-SIV,GPL17463
P168_R806_w24.24h,post-vaccination blood sample from animal R806 at w24.w24h,US93503719_254853410663_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R806,Macaca mulatta,R806,NYV-SIV,5,w24.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w24.24h after vaccination with NYV-SIV,GPL17463
P168_R808_w4.0h,post-vaccination blood sample from animal R808 at w4.w4h,US93503719_254853410663_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R808,Macaca mulatta,R808,NYV-SIV,4,w4.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.0h after vaccination with NYV-SIV,GPL17463
P168_R784_w12.6h,post-vaccination blood sample from animal R784 at w12.w12h,US93503719_254853410663_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R784,Macaca mulatta,R784,ALV-SIV,2,w12.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.6h after vaccination with ALV-SIV,GPL17463
Control.6,Control,US93503719_254853410663_S01_GE1_107_Sep09_2_2.txt,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
P168_R767_w4.6h,post-vaccination blood sample from animal R767 at w4.w4h,US93503719_254853410663_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal R767,Macaca mulatta,R767,ALV-SIV,3,w4.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.6h after vaccination with ALV-SIV,GPL17463
P168_R794_w24.24h,post-vaccination blood sample from animal R794 at w24.w24h,US93503719_254853410663_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal R794,Macaca mulatta,R794,ALV-Control,3,w24.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w24.24h after vaccination with ALV-Control,GPL17463
Control.3,Control,US93503719_254853410664_S01_GE1_107_Sep09_1_1.txt,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
Control.2,Control,US93503719_254853410664_S01_GE1_107_Sep09_1_3.txt,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
P168_P403_w0.6h,post-vaccination blood sample from animal P403 at w0.w0h,US93503719_254853410664_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal P403,Macaca mulatta,P403,ALV-Control,3,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with ALV-Control,GPL17463
P168_R761_w2.0h,post-vaccination blood sample from animal R761 at w2.w2h,US93503719_254853410664_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal R761,Macaca mulatta,R761,ALV-SIV,"NA",w2.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w2.0h after vaccination with ALV-SIV,GPL17463
P168_R794_w0.0h,pre-vaccination blood sample from animal R794 at w0.w0h,US93503719_254853410674_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal R794,Macaca mulatta,R794,ALV-Control,3,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_R771_w2.0h,post-vaccination blood sample from animal R771 at w2.w2h,US93503719_254853410674_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R771,Macaca mulatta,R771,ALV-Control,1,w2.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w2.0h after vaccination with ALV-Control,GPL17463
P168_R794_w0.6h,post-vaccination blood sample from animal R794 at w0.w0h,US93503719_254853410674_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R794,Macaca mulatta,R794,ALV-Control,3,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with ALV-Control,GPL17463
P168_R774_w12.24h,post-vaccination blood sample from animal R774 at w12.w12h,US93503719_254853410674_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R774,Macaca mulatta,R774,ALV-Control,1,w12.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.24h after vaccination with ALV-Control,GPL17463
P168_R764_w26.0h,post-vaccination blood sample from animal R764 at w26.w26h,US93503719_254853410674_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal R764,Macaca mulatta,R764,ALV-Control,3,w26.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w26.0h after vaccination with ALV-Control,GPL17463
P168_P403_w24.24h,post-vaccination blood sample from animal P403 at w24.w24h,US93503719_254853410674_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal P403,Macaca mulatta,P403,ALV-Control,3,w24.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w24.24h after vaccination with ALV-Control,GPL17463
P168_R771_w5.0h,post-vaccination blood sample from animal R771 at w5.w5h,US93503719_254853410675_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R771,Macaca mulatta,R771,ALV-Control,1,w5.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w5.0h after vaccination with ALV-Control,GPL17463
P168_R771_w0.0h,pre-vaccination blood sample from animal R771 at w0.w0h,US93503719_254853410675_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R771,Macaca mulatta,R771,ALV-Control,1,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_P403_w0.0h,pre-vaccination blood sample from animal P403 at w0.w0h,US93503719_254853410675_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal P403,Macaca mulatta,P403,ALV-Control,3,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_P403_w4.6h,post-vaccination blood sample from animal P403 at w4.w4h,US93503719_254853410675_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal P403,Macaca mulatta,P403,ALV-Control,3,w4.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.6h after vaccination with ALV-Control,GPL17463
P168_P403_w5.0h,post-vaccination blood sample from animal P403 at w5.w5h,US93503719_254853410675_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal P403,Macaca mulatta,P403,ALV-Control,3,w5.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w5.0h after vaccination with ALV-Control,GPL17463
P168_R771_w25.0h,post-vaccination blood sample from animal R771 at w25.w25h,US93503719_254853410675_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal R771,Macaca mulatta,R771,ALV-Control,1,w25.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w25.0h after vaccination with ALV-Control,GPL17463
P168_R784_w0.6h,post-vaccination blood sample from animal R784 at w0.w0h,US93503719_254853410676_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal R784,Macaca mulatta,R784,ALV-SIV,2,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with ALV-SIV,GPL17463
P168_R791_w26.0h,post-vaccination blood sample from animal R791 at w26.w26h,US93503719_254853410676_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R791,Macaca mulatta,R791,ALV-SIV,not infected,w26.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w26.0h after vaccination with ALV-SIV,GPL17463
P168_P409_w0.0h,pre-vaccination blood sample from animal P409 at w0.w0h,US93503719_254853410676_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal P409,Macaca mulatta,P409,ALV-SIV,"NA",w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_P409_w0.24h,post-vaccination blood sample from animal P409 at w0.w0h,US93503719_254853410676_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal P409,Macaca mulatta,P409,ALV-SIV,"NA",w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with ALV-SIV,GPL17463
P168_R784_w4.0h,post-vaccination blood sample from animal R784 at w4.w4h,US93503719_254853410676_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R784,Macaca mulatta,R784,ALV-SIV,2,w4.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.0h after vaccination with ALV-SIV,GPL17463
P168_R781_w24.24h,post-vaccination blood sample from animal R781 at w24.w24h,US93503719_254853410676_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal R781,Macaca mulatta,R781,ALV-SIV,1,w24.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w24.24h after vaccination with ALV-SIV,GPL17463
P168_P409_w1.0h,post-vaccination blood sample from animal P409 at w1.w1h,US93503719_254853410676_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal P409,Macaca mulatta,P409,ALV-SIV,"NA",w1.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w1.0h after vaccination with ALV-SIV,GPL17463
Control.22,Control,US93503719_254853410676_S01_GE1_107_Sep09_2_4.txt,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
P168_R765_w5.0h,post-vaccination blood sample from animal R765 at w5.w5h,US93503719_254853410722_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal R765,Macaca mulatta,R765,ALV-SIV,5,w5.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w5.0h after vaccination with ALV-SIV,GPL17463
P168_P390_w26.0h,post-vaccination blood sample from animal P390 at w26.w26h,US93503719_254853410722_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal P390,Macaca mulatta,P390,ALV-SIV,6,w26.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w26.0h after vaccination with ALV-SIV,GPL17463
P168_R765_w1.0h,post-vaccination blood sample from animal R765 at w1.w1h,US93503719_254853410722_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R765,Macaca mulatta,R765,ALV-SIV,5,w1.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w1.0h after vaccination with ALV-SIV,GPL17463
P168_R767_w24.24h,post-vaccination blood sample from animal R767 at w24.w24h,US93503719_254853410722_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R767,Macaca mulatta,R767,ALV-SIV,3,w24.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w24.24h after vaccination with ALV-SIV,GPL17463
P168_R765_w4.0h,post-vaccination blood sample from animal R765 at w4.w4h,US93503719_254853410722_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R765,Macaca mulatta,R765,ALV-SIV,5,w4.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.0h after vaccination with ALV-SIV,GPL17463
P168_R776_w0.24h,post-vaccination blood sample from animal R776 at w0.w0h,US93503719_254853410722_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal R776,Macaca mulatta,R776,ALV-SIV,2,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with ALV-SIV,GPL17463
P168_R765_w0.24h,post-vaccination blood sample from animal R765 at w0.w0h,US93503719_254853410722_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal R765,Macaca mulatta,R765,ALV-SIV,5,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with ALV-SIV,GPL17463
P168_R776_w0.0h,pre-vaccination blood sample from animal R776 at w0.w0h,US93503719_254853410722_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal R776,Macaca mulatta,R776,ALV-SIV,2,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_R776_w12.24h,post-vaccination blood sample from animal R776 at w12.w12h,US93503719_254853410723_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal R776,Macaca mulatta,R776,ALV-SIV,2,w12.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.24h after vaccination with ALV-SIV,GPL17463
P168_R768_w4.6h,post-vaccination blood sample from animal R768 at w4.w4h,US93503719_254853410723_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R768,Macaca mulatta,R768,ALV-SIV,1,w4.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.6h after vaccination with ALV-SIV,GPL17463
P168_R765_w12.6h,post-vaccination blood sample from animal R765 at w12.w12h,US93503719_254853410723_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R765,Macaca mulatta,R765,ALV-SIV,5,w12.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.6h after vaccination with ALV-SIV,GPL17463
P168_R768_w12.6h,post-vaccination blood sample from animal R768 at w12.w12h,US93503719_254853410723_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R768,Macaca mulatta,R768,ALV-SIV,1,w12.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.6h after vaccination with ALV-SIV,GPL17463
P168_R760_w26.0h,post-vaccination blood sample from animal R760 at w26.w26h,US93503719_254853410723_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R760,Macaca mulatta,R760,ALV-SIV,2,w26.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w26.0h after vaccination with ALV-SIV,GPL17463
P168_R760_w12.24h,post-vaccination blood sample from animal R760 at w12.w12h,US93503719_254853410723_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal R760,Macaca mulatta,R760,ALV-SIV,2,w12.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.24h after vaccination with ALV-SIV,GPL17463
P168_P390_w24.24h,post-vaccination blood sample from animal P390 at w24.w24h,US93503719_254853410723_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal P390,Macaca mulatta,P390,ALV-SIV,6,w24.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w24.24h after vaccination with ALV-SIV,GPL17463
P168_R767_w4.0h,post-vaccination blood sample from animal R767 at w4.w4h,US93503719_254853410723_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal R767,Macaca mulatta,R767,ALV-SIV,3,w4.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.0h after vaccination with ALV-SIV,GPL17463
P168_P397_w25.0h,post-vaccination blood sample from animal P397 at w25.w25h,US93503719_254853410724_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal P397,Macaca mulatta,P397,NYV-SIV,5,w25.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w25.0h after vaccination with NYV-SIV,GPL17463
Control.16,Control,US93503719_254853410724_S01_GE1_107_Sep09_1_2.txt,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
P168_R772_w4.0h,post-vaccination blood sample from animal R772 at w4.w4h,US93503719_254853410724_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R772,Macaca mulatta,R772,NYV-SIV,2,w4.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.0h after vaccination with NYV-SIV,GPL17463
P168_R770_w4.6h,post-vaccination blood sample from animal R770 at w4.w4h,US93503719_254853410724_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R770,Macaca mulatta,R770,NYV-SIV,4,w4.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.6h after vaccination with NYV-SIV,GPL17463
P168_R772_w25.0h,post-vaccination blood sample from animal R772 at w25.w25h,US93503719_254853410724_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R772,Macaca mulatta,R772,NYV-SIV,2,w25.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w25.0h after vaccination with NYV-SIV,GPL17463
P168_R766_w0.24h,post-vaccination blood sample from animal R766 at w0.w0h,US93503719_254853410724_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal R766,Macaca mulatta,R766,NYV-SIV,5,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with NYV-SIV,GPL17463
P168_R773_w24.24h,post-vaccination blood sample from animal R773 at w24.w24h,US93503719_254853410724_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal R773,Macaca mulatta,R773,NYV-SIV,3,w24.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w24.24h after vaccination with NYV-SIV,GPL17463
P168_R766_w4.6h,post-vaccination blood sample from animal R766 at w4.w4h,US93503719_254853410724_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal R766,Macaca mulatta,R766,NYV-SIV,5,w4.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.6h after vaccination with NYV-SIV,GPL17463
P168_R772_w5.0h,post-vaccination blood sample from animal R772 at w5.w5h,US93503719_254853410725_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal R772,Macaca mulatta,R772,NYV-SIV,2,w5.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w5.0h after vaccination with NYV-SIV,GPL17463
P168_R772_w2.0h,post-vaccination blood sample from animal R772 at w2.w2h,US93503719_254853410725_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R772,Macaca mulatta,R772,NYV-SIV,2,w2.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w2.0h after vaccination with NYV-SIV,GPL17463
P168_R769_w12.24h,post-vaccination blood sample from animal R769 at w12.w12h,US93503719_254853410725_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R769,Macaca mulatta,R769,NYV-SIV,3,w12.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.24h after vaccination with NYV-SIV,GPL17463
P168_R769_w0.24h,post-vaccination blood sample from animal R769 at w0.w0h,US93503719_254853410725_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R769,Macaca mulatta,R769,NYV-SIV,3,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with NYV-SIV,GPL17463
P168_R773_w0.0h,pre-vaccination blood sample from animal R773 at w0.w0h,US93503719_254853410725_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R773,Macaca mulatta,R773,NYV-SIV,3,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_R770_w5.0h,post-vaccination blood sample from animal R770 at w5.w5h,US93503719_254853410725_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal R770,Macaca mulatta,R770,NYV-SIV,4,w5.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w5.0h after vaccination with NYV-SIV,GPL17463
P168_R766_w0.0h,pre-vaccination blood sample from animal R766 at w0.w0h,US93503719_254853410725_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal R766,Macaca mulatta,R766,NYV-SIV,5,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_R769_w12.6h,post-vaccination blood sample from animal R769 at w12.w12h,US93503719_254853410725_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal R769,Macaca mulatta,R769,NYV-SIV,3,w12.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.6h after vaccination with NYV-SIV,GPL17463
P168_R772_w26.0h,post-vaccination blood sample from animal R772 at w26.w26h,US93503719_254853410727_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal R772,Macaca mulatta,R772,NYV-SIV,2,w26.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w26.0h after vaccination with NYV-SIV,GPL17463
P168_R770_w12.24h,post-vaccination blood sample from animal R770 at w12.w12h,US93503719_254853410727_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R770,Macaca mulatta,R770,NYV-SIV,4,w12.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.24h after vaccination with NYV-SIV,GPL17463
P168_P397_w5.0h,post-vaccination blood sample from animal P397 at w5.w5h,US93503719_254853410727_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal P397,Macaca mulatta,P397,NYV-SIV,5,w5.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w5.0h after vaccination with NYV-SIV,GPL17463
P168_R770_w2.0h,post-vaccination blood sample from animal R770 at w2.w2h,US93503719_254853410727_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R770,Macaca mulatta,R770,NYV-SIV,4,w2.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w2.0h after vaccination with NYV-SIV,GPL17463
P168_R773_w0.24h,post-vaccination blood sample from animal R773 at w0.w0h,US93503719_254853410727_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R773,Macaca mulatta,R773,NYV-SIV,3,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with NYV-SIV,GPL17463
